city,province,activity,spots
Brooks,Alberta,Cycling,"['Cycle City Bike Shop & Repairs', 'Great Explorations', 'Tynehead Regional Park', 'Van City Bikes and Skis', 'Coal Harbour Bike Rental']"
Brooks,Alberta,Boating,"['Granville Island Boat Rentals', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', ""Gord's boat"", 'Coal Harbour Marina']"
Calgary,Alberta,Cycling,"['Bikes For All', 'Coal Harbour Bike Rental', 'Reckless Shipyards: eBikes, Skis & More!', 'Burnaby Mountain Bike Skills Facility', 'Burnaby Velodrome Club', 'Kissing Crows Cyclery', 'Bert Flinn Park', 'Great Explorations']"
Calgary,Alberta,Canoeing,"['Majestic Ocean Kayaking', 'Seaward Kayaks']"
Calgary,Alberta,Boating,"['2nd Launch boat', 'Heather Civic Marina', 'Crescent Beach Marina', 'Shelter Island Marina & Boatyard', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Granville Island Boat Rentals']"
Calgary,Alberta,River Rafting,"['Kumsheen Rafting Resort', 'Canadian Outback Rafting', 'Adams River Rafting Ltd', 'West Coast Canyoning Adventures', 'Chilliwack River Rafting', 'Winding Waters River Expeditions', 'Outdoor Adventure Center', 'Squamish Rafting Company']"
Calgary,Alberta,Mountaineering,"['Cabin Lake', 'West Lion', 'Cheam Peak', 'Capilano Suspension Bridge Park', 'Stanley Park']"
Calgary,Alberta,Picnic,"['Locarno Beach Picnic Site', 'Prospect Point Picnic Area', 'Picnic Area', 'Bambi Picnic Vancouver']"
Edmonton,Alberta,Beach,"['Beach denj', 'Ambleside Beach', 'Parkside Beach', 'Trout Lake Beach', 'Pebbly Beach', 'Dundarave Beach']"
Edmonton,Alberta,Photography,"['Gastown Steam Clock', 'Rocky Point Park', 'Inukshuk', 'Vancouver Photographer | Enjoy The Journey Studios', 'Guelph Park', 'Capilano Suspension Bridge Park', 'Sunset Beach Park', 'Stanley Park', 'VanDusen Botanical Garden']"
Edmonton,Alberta,Canoeing,"['North Island Kayak', 'Tofino Sea Kayaking']"
Edmonton,Alberta,Cycling,"['Steed Cycles', 'Union Street Cycle', 'HUB Cycling']"
Edmonton,Alberta,Cherry Blossom Viewing,"['Minoru Park', 'UBC Botanical Garden']"
Edmonton,Alberta,Fishing,"['Rolley Lake Provincial Park', 'Deer Lake Park', 'Fraser Fishing Adventures', 'Burnaby Fraser Foreshore Park', 'Lost Lagoon, Stanley Park']"
Fort McMurray,Alberta,Cycling,"['Willingdon Linear Park', ""Cap's Electric Bike Centre"", 'Steed Cycles', 'Velo Star Cafe']"
Fort McMurray,Alberta,Rock Climbing,"['Climb Base5 (North Vancouver)', 'Vancouver Mountain Guides', 'Climb Base5 (Coquitlam)', 'Climb Away', 'The Hive Heights', 'Thompson community bouldering', 'The Rock Wall Climbing Gym', 'Vancouver Climbers Association', ""Clip 'n Climb Vancouver""]"
Fort McMurray,Alberta,Cherry Blossom Viewing,"['UBC Botanical Garden', 'Greenheart TreeWalk']"
Fort McMurray,Alberta,Camping,"['Montague Provincial Campground (K2 Park Service)', 'Muskrat Meadow Outdoor Group Campsite', 'Apodaca Provincial Park', 'Porteau Cove Campground', 'Klahanie Campground', 'Rolley Lake Provincial Park']"
Fort McMurray,Alberta,Boating,"['Reed Point Marina', 'Granville Island Boat Rentals', ""Gord's boat"", 'Mosquito Creek Marina']"
Fort McMurray,Alberta,Swimming,"['Kerrisdale Pool', 'Killarney Pool', 'Lord Byng Pool & Fitness Centre', 'Port Coquitlam Leisure Pool', 'Central Park Outdoor Pool', 'Blue Mountain Wading Pool', 'RONA Coquitlam (Austin)', 'Templeton Park Pool', 'Kensington Park Outdoor Pool']"
Grande Prairie,Alberta,Cherry Blossom Viewing,"['Cherry Blossom Garden', 'Queen Elizabeth Park', 'Andy Livingstone Park', 'Jean Beaty Park', 'Vanier Park', 'Cherry Blossom Intersection', 'Sunrise Park']"
Grande Prairie,Alberta,Skiing/Snowboarding,"['Purden Ski Village', 'Mount Timothy Recreational Resort', 'Dakota Ridge Ski Area', 'Baldy Mountain Resort', 'SilverStar Mountain Resort']"
Grande Prairie,Alberta,Swimming,"['RONA Coquitlam (Austin)', 'SFU Aquatic Centre']"
Grande Prairie,Alberta,Fishing,"['Fishing dock', 'Burnaby Fraser Foreshore Park', ""Lang's Fishing Adventures""]"
Jasper,Alberta,Camping,"['Dogwood Campgrounds & RV Park', 'Campnab', 'Bishop Creek Marine Campground', 'Seymour Group Campsite', 'Anmore Camp & RV Park', 'Discover Camping', 'Fort Camping', 'Apodaca Provincial Park', 'BC Hydro Stave Falls Lodge and Campsite']"
Jasper,Alberta,Swimming,"['Propel Swimming Lessons Burnaby', 'Kensington Park Outdoor Pool', 'Kerrisdale Pool', 'Second Beach Swimming Pool']"
Jasper,Alberta,Skiing/Snowboarding,"['Baldy Mountain Resort', 'Whitecap Alpine', 'Fortress Ski Area', 'Purden Ski Village', 'Grouse Mountain', 'Whistler Blackcomb', 'Big White Ski Resort']"
Lake Louise,Alberta,Boating,"['Mosquito Creek Marina', 'Shelter Island Marina & Boatyard', 'Coal Harbour Marina', 'Burnaby Fraser Foreshore Park', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Ambleside Park | West Vancouver', 'Rocky Point Public Boat Launch']"
Lake Louise,Alberta,Horse-riding,"['Leghorn Ranch Horseback Trail Rides', 'Pathways on Pleasure Valley', 'Farm Ventures', 'Trail Riders of the Canadian Rockies']"
Lake Louise,Alberta,Hiking/Trekking,"['Jug Island Trailhead', 'Glenbrook Ravine Trail', 'Cottonwood Trail', 'South Side Trail', 'Trail of Hope']"
Lake Louise,Alberta,Skiing/Snowboarding,"['Club Intrawest', 'Cypress Mountain', 'Revelstoke Mountain Resort', 'Big White Ski Resort', 'Whitecap Alpine']"
Lake Louise,Alberta,Rock Climbing,"['Thompson community bouldering', 'The Hive Bouldering Gym', 'Canada West Mountain School']"
Lethbridge,Alberta,Picnic,"['Central Park Picnic Areas', 'Hume Park', 'Barnet Marine Park Picnic Areas', 'Jack`s Burn picnic area', 'Picnic Pavilion', 'Picnic Area', 'Burnaby Fraser Foreshore Park', 'Prospect Point Picnic Area']"
Lethbridge,Alberta,Cycling,"['Yes Cycle Bike Rental', 'Burnaby Velodrome Club', 'Velo Star Cafe', 'Van City Bikes and Skis', 'Great Explorations', 'Riverview Forest Biking Trails', ""Cap's Bicycle Shop"", 'Kissing Crows Cyclery']"
Lethbridge,Alberta,Hiking/Trekking,"['Southshore Trail', 'Central Valley Greenway', 'Burnaby Lake Regional Park', 'Glenbrook Ravine Trail', ""Drummond's Walk"", 'Burnaby Mountain Urban Trail']"
Lethbridge,Alberta,Rock Climbing,"['Climblife', 'Thompson community bouldering', 'Bomber Climbing', 'Outdoor Bouldering Wall', 'SFU Climbing Wall', 'Coastal Climbing Centre', 'Project Climbing Cloverdale', 'Canada West Mountain School']"
Lethbridge,Alberta,Boating,"['BURNABY SAILING ASSOCIATION - Barnet Marine Park', ""Gord's boat"", 'Bayshore West Marina', 'Westminster Pier Park', 'Rocky Point Public Boat Launch', 'Shelter Island Marina & Boatyard', 'Cooper Boating', 'Burnaby Fraser Foreshore Park']"
Lethbridge,Alberta,Mountaineering,"['Hiking trails & scenic valley views', 'Cabin Lake', 'Pinecone Burke Provincial Park']"
Medicine Hat,Alberta,Hiking/Trekking,"['Glenbrook Ravine Trail', 'Burnaby Lake Regional Park']"
Medicine Hat,Alberta,River Rafting,"['Outdoor Adventure Center', 'Northern Rockies Adventures', 'Wet Planet Rafting and Kayaking', 'Chilliwack River Rafting', 'Hydra River Guides', 'Wedge Rafting', 'Glacier Guides and Montana Raft', 'Kumsheen Rafting Resort', 'Adams River Rafting Ltd']"
Medicine Hat,Alberta,Rock Climbing,"['Canada West Mountain School', 'Bomber Climbing', 'Climb Away', 'Thompson community bouldering']"
Medicine Hat,Alberta,Canoeing,"['Creekside Kayaks at Dragon Boat BC', 'Bowron Lake Provincial Park', 'Wildcoast Adventures', 'Spirit of the West Adventures', 'Northern Rockies Adventures']"
Medicine Hat,Alberta,Picnic,"['Meunch Bar Picnic Area', 'Barnet Marine Park Picnic Areas', 'Mundy Park Picnic Shelter', 'Hume Park', 'Bambi Picnic Vancouver', 'Central Park Picnic Areas', 'Picnic Area']"
Medicine Hat,Alberta,Mountaineering,"['Crown Mountain', 'Vancouver Mountain Guides', 'Hiking trails & scenic valley views', 'Panorama Ridge']"
Red Deer,Alberta,Fishing,"['John Hendry Park (Trout Lake Park)', 'Lower Pond', 'Burnaby Fraser Foreshore Park', 'Burnaby Lake Regional Park', 'Whytecliff Park | West Vancouver', 'Cabin Lake', 'Westminster Pier Park']"
Red Deer,Alberta,Cherry Blossom Viewing,"['Jean Beaty Park', 'Stanley Park', 'Nikkei National Museum & Cultural Centre']"
Red Deer,Alberta,Swimming,"['SFU Aquatic Centre', 'Vancouver Aquatic Centre', 'Garden Grove Dr']"
Red Deer,Alberta,Skiing/Snowboarding,"['SilverStar Mountain Resort', 'Sun Peaks Resort', 'Whitecap Alpine']"
Red Deer,Alberta,Horse-riding,"['Sun Hills Riding Centre', 'Leghorn Ranch Horseback Trail Rides', 'Carousel Canada Equine Riding Centre', 'Pathways on Pleasure Valley', 'Saddle Peak Trail Rides', 'North Shore Equestrian Centre']"
Red Deer,Alberta,Canoeing,"['Kanaka Creek Regional Park', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Vancouver Seawall', 'Wildcoast Adventures', 'Creekside Kayaks at Dragon Boat BC', 'Say Nuth Khaw Yum Provincial Park', 'Talaysay Tours', 'Skyview Outdoors']"
Saint Albert,Alberta,Boating,"['Heather Civic Marina', 'Cooper Boating']"
Saint Albert,Alberta,Cherry Blossom Viewing,"['Minoru Park', 'Stanley Park', 'Salsbury Park', 'UBC Botanical Garden', 'Prince Edward Park', 'Mount Pleasant Park', 'Nikkei National Museum & Cultural Centre', 'Cherry Blossom Garden', 'Alice Townley Park']"
Saint Albert,Alberta,Rock Climbing,"['Vancouver Climbers Association', 'Climb Away', 'The Rock Wall Climbing Gym', 'Project Climbing Centre']"
Saint Albert,Alberta,Mountaineering,"['West Lion', 'Vancouver Mountain Guides', 'Cheam Peak', 'Cabin Lake', 'Crown Mountain', 'Rocky Mountaineer Station']"
Barkerville,British Columbia,Canoeing,"['Bowron Lake Provincial Park', 'Pedals & Paddles', 'Seaward Kayaks', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Northshore Kayaking', 'Spirit of the West Adventures', 'Banff Canoe Club', 'Kanaka Creek Regional Park', 'North Island Kayak']"
Barkerville,British Columbia,Boating,"['Burrard Civic Marina', 'Ambleside Park | West Vancouver', '2nd Launch boat', 'Heather Civic Marina', 'Granville Island Boat Rentals', 'Mosquito Creek Marina']"
Barkerville,British Columbia,Picnic,"['Picnic Pavilion', 'Picnic Area', 'Picnic Area', 'Covered Area', 'Picnic point', 'Bambi Picnic Vancouver']"
Barkerville,British Columbia,Mountaineering,"['Stanley Park', 'Kennedy Falls', 'Vancouver Mountain Guides', 'Panorama Ridge', 'Ammonite Falls', 'Hiking trails & scenic valley views', 'Watersprite Lake', 'Say Nuth Khaw Yum Provincial Park']"
Barkerville,British Columbia,Cycling,"['Steed Cycles', 'Velo Star Cafe', 'Willingdon Linear Park']"
Burnaby,British Columbia,Mountaineering,"['Woodland Falls', 'West Lion', 'Cheam Peak', 'Capilano Suspension Bridge Park', 'Whytecliff Park | West Vancouver', 'Watersprite Lake', 'Rocky Mountaineer Station', 'Vancouver Mountain Guides']"
Burnaby,British Columbia,Camping,"['Apodaca Provincial Park', 'Seymour Group Campsite']"
Burnaby,British Columbia,Fishing,"['Burnaby Lake Regional Park', 'Lost Lagoon, Stanley Park', 'Kanaka Creek Regional Park', 'Rocky Point Park', 'Burnaby Fraser Foreshore Park']"
Burnaby,British Columbia,Cherry Blossom Viewing,"['Queen Elizabeth Park', 'Jean Beaty Park']"
Burnaby,British Columbia,Skiing/Snowboarding,"['Sun Peaks Resort', 'Dakota Ridge Ski Area', 'Troll Ski Resort', 'Whistler Blackcomb', 'Mount Cain Alpine Park']"
Burnaby,British Columbia,Rock Climbing,"['Climblife', 'SFU Climbing Wall', 'The Hive Climbing and Fitness', 'Vancouver Mountain Guides']"
Campbell River,British Columbia,Cherry Blossom Viewing,"['Cherry Blossom Garden', 'Mount Pleasant Park', 'Stanley Park', 'Cherry Blossom Intersection']"
Campbell River,British Columbia,Camping,"['Campnab', 'Anmore Camp & RV Park', 'BCRV', 'Bishop Creek Marine Campground', 'Montague Provincial Campground (K2 Park Service)']"
Campbell River,British Columbia,Skiing/Snowboarding,"['Phoenix Mountain Ski Area', 'Whistler Blackcomb', 'Grouse Mountain']"
Campbell River,British Columbia,Mountaineering,"['Kennedy Falls', 'Woodland Falls']"
Campbell River,British Columbia,River Rafting,"['Hydra River Guides', 'Outdoor Adventure Center', 'Winding Waters River Expeditions', 'Alpine Adventures', 'Canadian Outback Rafting', 'Glacier Guides and Montana Raft', 'Wedge Rafting', 'Adams River Rafting Ltd', 'West Coast Canyoning Adventures']"
Campbell River,British Columbia,Cycling,"['Reckless Shipyards: eBikes, Skis & More!', 'Burnaby Mountain Bike Skills Facility']"
Chilliwack,British Columbia,Photography,"['Rocky Point Park', 'Inukshuk']"
Chilliwack,British Columbia,Mountaineering,"['Stanley Park', 'West Lion', 'Hiking trails & scenic valley views', 'Mt Thom Park', 'Grouse Grind Trail', 'Vancouver Mountain Guides', 'Woodland Falls']"
Chilliwack,British Columbia,Cycling,"['Steed Cycles', 'Van City Bikes and Skis', 'Cycle City Bike Shop & Repairs', 'Tynehead Regional Park', ""Cap's Bicycle Shop"", ""Cap's Electric Bike Centre"", 'Willingdon Linear Park']"
Courtenay,British Columbia,Fishing,"['Fraser River Park', 'Fishing dock']"
Courtenay,British Columbia,Swimming,"['Kensington Park Outdoor Pool', 'Stan Stronge Pool', 'Eileen Dailly Leisure Pool & Fitness Centre', 'Blue Mountain Wading Pool', 'Garden Grove Dr', 'City Centre Aquatic Complex', 'Vancouver Aquatic Centre']"
Courtenay,British Columbia,Cherry Blossom Viewing,"['Cherry Blossom Garden', 'Alice Townley Park', 'Cherry Blossom Intersection', 'UBC Botanical Garden', 'Stanley Park']"
Courtenay,British Columbia,River Rafting,"['Glacier Guides and Montana Raft', 'Triad River Tours', 'Alpine Adventures', 'Winding Waters River Expeditions', 'River Drifters - White Salmon River Rafting', 'Squamish Rafting Company', 'Pangaea River Rafting | Missoula Whitewater Rafting']"
Cranbrook,British Columbia,Skiing/Snowboarding,"['Phoenix Mountain Ski Area', 'Whitecap Alpine', 'RED Mountain Resort', 'Purden Ski Village', 'Grouse Mountain', 'Revelstoke Mountain Resort', 'Whistler Blackcomb']"
Cranbrook,British Columbia,Camping,"['Discover Camping', 'Montague Provincial Campground (K2 Park Service)', 'British Columbia Lodging & Campgrounds Association']"
Cranbrook,British Columbia,Cherry Blossom Viewing,"['Cherry Blossom Avenue', 'Mount Pleasant Park']"
Cranbrook,British Columbia,Horse-riding,"['Saddle Peak Trail Rides', 'Inspire horsemanship', 'Valle Vista Stables']"
Cranbrook,British Columbia,Picnic,"['Prospect Point Picnic Area', 'Burnaby Fraser Foreshore Park']"
Dawson Creek,British Columbia,Hiking/Trekking,"['Burnaby Mountain Conservation Area', 'Southshore Trail']"
Dawson Creek,British Columbia,Cherry Blossom Viewing,"['Cherry Blossom Intersection', 'Mount Pleasant Park', 'Cherry Blossom Garden', 'Queen Elizabeth Park', 'Nikkei National Museum & Cultural Centre', 'Vanier Park', 'Cherry Blossom Avenue']"
Dawson Creek,British Columbia,Beach,"['Spanish Banks Beach', 'White Pine Beach', 'Parkside Beach', 'English Bay Beach', 'Spanish Banks Beach Park', 'Second Beach', 'Ambleside Beach', 'Beach denj']"
Dawson Creek,British Columbia,Skiing/Snowboarding,"['Whistler Blackcomb', 'Mount Cain Alpine Park', 'Mt Seymour Resort', 'RED Mountain Resort', 'Grouse Mountain', 'Revelstoke Mountain Resort']"
Dawson Creek,British Columbia,Cycling,"['Riverview Forest Biking Trails', 'Velo Star Cafe', ""Cap's Bicycle Shop"", 'Burnaby Velodrome Club', 'Bert Flinn Park', 'Burnaby Mountain Bike Skills Facility', 'Coal Harbour Bike Rental']"
Delta,British Columbia,Camping,"['Fort Camping', 'Muskrat Meadow Outdoor Group Campsite', 'Montague Provincial Campground (K2 Park Service)', 'Apodaca Provincial Park']"
Delta,British Columbia,Swimming,"['Lord Byng Pool & Fitness Centre', 'City Centre Aquatic Complex', 'Renfrew Park Pool', 'Garden Grove Dr', 'MacPherson Outdoor Pool', 'Wading Pool', 'Kerrisdale Pool']"
Delta,British Columbia,Picnic,"['Confederation Park Picnic Areas', 'Central Park Picnic Areas', 'Rocky Point Picnic Shelter', 'Hume Park']"
Esquimalt,British Columbia,Boating,"['BURNABY SAILING ASSOCIATION - Barnet Marine Park', '2nd Launch boat', 'Burnaby Fraser Foreshore Park', 'Crescent Beach Marina', 'Cates Park Boat Ramp', 'Heather Civic Marina', 'Cooper Boating', 'Westminster Pier Park', 'Bayshore West Marina']"
Esquimalt,British Columbia,Canoeing,"['Pedals & Paddles', 'Say Nuth Khaw Yum Provincial Park', 'Skyview Outdoors', 'Vancouver Seawall', 'Majestic Ocean Kayaking']"
Esquimalt,British Columbia,Beach,"['Pebbly Beach', 'Buntzen Lake North Beach', 'Maple Beach', 'Trout Lake Beach', 'Parkside Beach']"
Esquimalt,British Columbia,Mountaineering,"['Kennedy Falls', 'Cheam Peak', 'Panorama Ridge', 'Stanley Park', 'Vancouver Mountain Guides']"
Fort Saint James,British Columbia,Hiking/Trekking,"['Glenbrook Ravine Trail', 'Suraci’s Trail', 'Burnaby Mountain walking path', 'Cottonwood Trail', 'Central Valley Greenway', 'Velodrome Trail', 'Trans Canada Trail', 'Burnaby lake', 'Jug Island Trailhead']"
Fort Saint James,British Columbia,Mountaineering,"['Panorama Ridge', 'Say Nuth Khaw Yum Provincial Park', 'Ammonite Falls', 'Grouse Grind Trail', 'Crown Mountain', 'Whytecliff Park | West Vancouver', 'Rocky Mountaineer Station', 'Cheam Peak', 'Mt Thom Park']"
Fort Saint James,British Columbia,Horse-riding,"['Sun Hills Riding Centre', 'Leghorn Ranch Horseback Trail Rides', 'Farm Ventures', 'Southlands Heritage Farm']"
Fort Saint James,British Columbia,Canoeing,"['Gulf Island Kayaking', 'Northern Rockies Adventures', 'North Island Kayak', 'Pedals & Paddles']"
Fort Saint John,British Columbia,Boating,"['Reed Point Marina', ""Gord's boat"", 'Heather Civic Marina', 'Shelter Island Marina & Boatyard']"
Fort Saint John,British Columbia,Horse-riding,"['Carousel Canada Equine Riding Centre', 'Leghorn Ranch Horseback Trail Rides', 'A/Z Mountain Adventures', 'Valle Vista Stables', 'Banff Trail Riders - Stables', 'Pathways on Pleasure Valley', 'Copper Cayuse Outfitters']"
Fort Saint John,British Columbia,Fishing,"[""Lang's Fishing Adventures"", 'Lower Pond', 'Fraser River Park', 'Fraser Fishing Adventures']"
Fort Saint John,British Columbia,Skiing/Snowboarding,"['Baldy Mountain Resort', 'Whistler Blackcomb', 'Grouse Mountain', 'Purden Ski Village', 'RED Mountain Resort', 'Whitecap Alpine', 'Mt Seymour Resort']"
Hope,British Columbia,Swimming,"['Lord Byng Pool & Fitness Centre', 'RONA Coquitlam (Austin)']"
Hope,British Columbia,Skiing/Snowboarding,"['Sun Peaks Resort', 'Dakota Ridge Ski Area', 'Mount Cain Alpine Park', 'Revelstoke Mountain Resort', 'Mt Seymour Resort', 'Grouse Mountain']"
Hope,British Columbia,Rock Climbing,"['The Hive Climbing and Fitness', 'Outdoor Bouldering Wall']"
Hope,British Columbia,Camping,"['Montague Provincial Campground (K2 Park Service)', 'Fort Camping']"
Hope,British Columbia,Boating,"['Shelter Island Marina & Boatyard', 'Granville Island Boat Rentals', 'Rocky Point Public Boat Launch', '2nd Launch boat', 'BURNABY SAILING ASSOCIATION - Barnet Marine Park', 'Burrard Civic Marina']"
Hope,British Columbia,Canoeing,"['Northshore Kayaking', 'North Island Kayak', 'Spirit of the West Adventures', 'Tofino Sea Kayaking', 'Bowron Lake Provincial Park', 'Wildcoast Adventures', 'Say Nuth Khaw Yum Provincial Park', 'Whytecliff Park | West Vancouver', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area']"
Kamloops,British Columbia,Mountaineering,"['Watersprite Lake', 'Cabin Lake', 'Cheam Peak', 'West Lion', 'Rocky Mountaineer Station', 'Mount Arrowsmith', 'Pinecone Burke Provincial Park']"
Kamloops,British Columbia,Fishing,"['Capilano River Hatchery', 'Fraser River Park', 'Kanaka Creek Regional Park', 'Westminster Pier Park', 'Rolley Lake Provincial Park', 'John Hendry Park (Trout Lake Park)', 'Stave River', 'Lower Pond', 'Fraser Fishing Adventures']"
Kamloops,British Columbia,Cycling,"['Bikes For All', 'Union Street Cycle', 'Willingdon Linear Park', 'Cycle City Bike Shop & Repairs', 'Velo Star Cafe']"
Kamloops,British Columbia,Camping,"['British Columbia Lodging & Campgrounds Association', 'Fort Camping', 'Klahanie Campground', 'Montague Provincial Campground (K2 Park Service)', 'Porteau Cove Campground', 'Rolley Lake Provincial Park']"
Kelowna,British Columbia,Cherry Blossom Viewing,"['Devonian Harbour Park', 'Queen Elizabeth Park', 'Mount Pleasant Park', 'Nikkei National Museum & Cultural Centre', 'Vanier Park', 'Cherry Blossom Garden', 'Andy Livingstone Park', 'Cherry Blossom Intersection']"
Kelowna,British Columbia,River Rafting,"['West Coast Canyoning Adventures', 'Interior Whitewater Expeditions Ltd']"
Kelowna,British Columbia,Camping,"['British Columbia Lodging & Campgrounds Association', ""Raven's Nest Outdoor Group Campsite"", 'Dogwood Campgrounds & RV Park', 'Capilano River RV Park']"
Kelowna,British Columbia,Mountaineering,"['Crown Mountain', 'Pinecone Burke Provincial Park', 'Ammonite Falls', 'Mt Thom Park']"
Kimberley,British Columbia,Cherry Blossom Viewing,"['UBC Botanical Garden', 'Cherry Blossom Intersection', 'John Hendry Park (Trout Lake Park)', 'Prince Edward Park']"
Kimberley,British Columbia,Picnic,"['Picnic Pavilion', 'Picnic Area', 'Locarno Beach Picnic Site', 'Jack`s Burn picnic area']"
Kimberley,British Columbia,Canoeing,"['Northshore Kayaking', 'Talaysay Tours', 'Vancouver Seawall', 'Tofino Sea Kayaking', 'Whytecliff Park | West Vancouver', 'Majestic Ocean Kayaking', 'Pedals & Paddles', 'Banff Canoe Club']"
Kimberley,British Columbia,Skiing/Snowboarding,"['Troll Ski Resort', 'Mount Cain Alpine Park', 'Purden Ski Village', 'Phoenix Mountain Ski Area', 'Mt Seymour Resort']"
Kitimat,British Columbia,Fishing,"[""Lang's Fishing Adventures"", 'Burnaby Lake Regional Park', 'Cabin Lake', 'John Hendry Park (Trout Lake Park)', 'Lower Pond', 'Silversides Fishing Adventures', 'Rolley Lake Provincial Park', 'Stave River']"
Kitimat,British Columbia,Picnic,"['Meunch Bar Picnic Area', 'Rocky Point Picnic Shelter', 'Jack`s Burn picnic area', 'Confederation Park Picnic Areas', 'Mundy Park Picnic Shelter', 'Barnet Marine Park Picnic Areas', 'Locarno Beach Picnic Site', 'Burnaby Fraser Foreshore Park', 'Central Park Picnic Areas']"
Kitimat,British Columbia,Rock Climbing,"[""Clip 'n Climb Vancouver"", 'Vancouver Mountain Guides', 'Climb Base5 (North Vancouver)', 'Outdoor Bouldering Wall', 'The Hive Heights', 'Climb Base5 (Coquitlam)']"
Kitimat,British Columbia,Horse-riding,"['Leghorn Ranch Horseback Trail Rides', 'Boundary Ranch', 'Glen Valley Stables']"
Langley,British Columbia,Fishing,"['Burnaby Lake Regional Park', 'Kanaka Creek Regional Park', 'Fishing dock', 'Cabin Lake', 'Burnaby Fraser Foreshore Park', 'Silversides Fishing Adventures', 'Rocky Point Park']"
Langley,British Columbia,Rock Climbing,"['Project Climbing Cloverdale', 'Vancouver Mountain Guides', 'The Hive Climbing and Fitness']"
Langley,British Columbia,Boating,"['Granville Island Boat Rentals', 'Westminster Pier Park', 'Bayshore West Marina', 'Rocky Point Public Boat Launch', 'Cooper Boating']"
Langley,British Columbia,Horse-riding,"['Farm Ventures', 'Southlands Heritage Farm', 'Boundary Ranch', 'Saddle Peak Trail Rides']"
Langley,British Columbia,Photography,"['Gastown Steam Clock', 'Bloedel Conservatory', 'FlyOver Canada', 'Capilano Suspension Bridge Park', 'VanDusen Botanical Garden', 'Prospect Point Lookout', 'Kennedy Falls']"
Nanaimo,British Columbia,Cherry Blossom Viewing,"['Greenheart TreeWalk', 'Prince Edward Park', 'Nikkei National Museum & Cultural Centre']"
Nanaimo,British Columbia,Cycling,"['Mactalla Cycles', 'Riverview Forest Biking Trails', 'Tynehead Regional Park', 'Yes Cycle Bike Rental', 'HUB Cycling', 'Great Explorations', ""Cap's Electric Bike Centre"", 'Willingdon Linear Park']"
Nanaimo,British Columbia,Horse-riding,"['A/Z Mountain Adventures', 'Leghorn Ranch Horseback Trail Rides', 'Boundary Ranch', 'Sun Hills Riding Centre', 'Leghorn Ranch Horseback Trail Rides', 'Southlands Heritage Farm', 'Pacific Riding for Developing Abilities', 'Glen Valley Stables', 'Carousel Canada Equine Riding Centre']"
Nanaimo,British Columbia,Skiing/Snowboarding,"['SilverStar Mountain Resort', 'Whistler Blackcomb', 'Grouse Mountain', 'Whistler Blackcomb', 'Mount Cain Alpine Park', 'Club Intrawest', 'Dakota Ridge Ski Area', 'Sun Peaks Resort', 'Grouse Mountain']"
