activity,category,item
Beach,misc. travel essentials to pack,"['water bottle', 'books', 'passport/visa/id', 'itinerary', 'maps/directions', 'guidebook', 'cash', 'credit/atm cards', 'face masks', 'insurance cards', 'list of medications', 'emergency contacts', 'copies of documents', 'smart phone', 'electronic chargers', 'adapter', 'camera', 'copy of vaccine card', 'snacks', 'laptop', 'portable charger', 'suitcase locks', 'sleep travel set', 'headphones', 'tissues', 'reusable baggies']"
Rock Climbing,gear,"['rope', 'belay/rappel device', 'locking carabiners', 'non-locking carabiners', 'pas (personal anchor system)', 'quickdraws', 'daypack', 'helmet', 'harness', 'rock climbing shoes', 'chalk', 'tape or rappel gloves (used to protect hands)', 'first aid kit', 'sunscreen', 'headlamp or flashlight', 'extra batteries', 'knife or multitool', 'water', 'snack (gels, energy bars, trail mix, granola bar, etc.)']"
Rock Climbing,clothing,"['wicking t-shirt', 'shorts, pants, or tights', 'rain jacket', 'down or fleece jacket for insulation', 'hiking shoes or sandals - something to change into while belaying']"
Rock Climbing,optional gear,"['camera', 'hat']"
Hiking/Trekking,hiking gear,"['daypack', 'trekking poles']"
Hiking/Trekking,clothing & footwear,"['moisture-wicking underwear', 'moisture-wicking t-shirt', 'quick-drying pants/shorts', 'long-sleeve shirt (for sun, bugs)', 'lightweight fleece or jacket', 'boots or shoes suited to terrain', 'socks (synthetic or wool)', 'extra clothes * (beyond the minimum expectation)', 'rainwear (jacket and pants)', 'long underwear', 'warm, insulated jacket or vest', 'fleece pants', 'gloves or mittens', 'warm hat', 'bandana or buff', 'gaiters (for rainy, snowy or muddy conditions)']"
Hiking/Trekking,food & water,"['water bottles and/or reservoir', 'water filter/purifier or chemical treatment', 'trail snacks', 'lunch', ""extra day's supply of food""]"
Hiking/Trekking,navigation,"['map', 'compass', 'route description or guidebook', 'altimeter watch', 'gps', 'satellite messenger/personal locator beacon', '', 'emergency & first aid', 'first-aid kit or first-aid supplies', 'lighter/matches and firestarter', 'emergency shelter', 'whistle', 'two itineraries: 1 left with friend + 1 under car seat']"
Hiking/Trekking,health & hygiene,"['hand sanitizer', 'menstrual products', 'prescription medications']"
Hiking/Trekking,sun protection,"['sunscreen', 'sunglasses (+ sunglasses straps)', 'sun hat', 'spf-rated lip balm', 'insect repellent', 'toilet paper', 'urinary products', 'sanitation trowel (if no toilets)', 'baby wipes', 'alcohol or antiseptic wipes', 'blister treatments']"
Hiking/Trekking,tools & repair items,"['knife or multi-tool', 'small gear-repair kit (duct tape, zip ties, etc)']"
Hiking/Trekking,day hiking extras,"['headlamp or flashlight (with extra batteries)', 'camera', 'interpretive field guide(s)', 'outdoor journal with pen/pencil', 'binoculars', 'two-way radios', '', 'personal items', 'credit card and/or cash', 'id', 'cellphone', '', 'personal items', 'credit card and/or cash', 'id', 'cellphone']"
Camping,travel essentials,"['tent (and footprint, stakes)', 'sleeping bags', 'sleeping pads', 'camping pillow', 'headlamps or flashlights (and extra batteries)', 'camp chairs', 'camp table (if no picnic table)', 'lantern (and mantles and fuel/batteries if needed)', 'sunshade, tarp or screen house', 'hammock', 'cots', 'sleeping bag liners', 'firewood sourced near campsite', 'camp rug', 'tablecloth and clips (or tape)', 'clothesline with clips']"
Camping,tools & repair items,"['multi-tool', 'duct tape', 'extra cord', 'tent-pole repair sleeve', 'pad/mattress repair kit', 'mallet or hammer (for hammering tent stakes)', 'saw or axe (for cutting firewood)', 'small broom and dustpan']"
Camping,kitchen,"['stove and fuel', 'matches/light/firestarter', 'cook pots (and pot holder)', 'frying pan', 'eating utensils', 'cooking utensils', 'bottle opener, can opener, corkscrew', 'sharp knife', 'plates/bowls', 'mugs/cups', 'cutting board', 'cooler', 'ice or ice substitutes', 'water bottles', 'camp sink or wash bins', 'biodegradable soap', 'pot scrubber/sponge(s)', 'trash/recycling bags', 'dish towel', 'camp grill and fuel', 'grill rack', 'griddle', 'dutch oven', 'charcoal', 'portable coffee/tea maker', 'rolling ice cream maker', 'marshmallow/hot dog roasting forks', 'small food-storage containers/bags/foil', 'large water jugs', 'large, clear plastic bins to store kitchen gear']"
Camping,campsite extras,"['solar and portable power', 'binoculars', 'navigation tools', 'field guides (flowers, insects)', 'star chart/night-sky identifier', 'book/reading material', 'notebook and pen/pencil', 'music player with headphones', 'games and toys', 'dog gear', 'dry bags, stuff sacks or clear plastic bins to store items']"
Camping,clothing & footwear,"['moisture-wicking underwear', 'moisture-wicking t-shirts', 'quick-drying pants/shorts', 'long-sleeve shirts (for sun, bugs)', 'lightweight fleece or jacket', 'boots or shoes suited to terrain', 'socks (synthetic or wool)', 'sleepwear', 'rainwear (jacket and pants)', 'long underwear', 'warm insulated jacket or vest', 'fleece pants', 'gloves or mittens', 'warm hat', 'swimsuits', 'water sandals', 'in-camp sandals or booties', 'bandanas']"
Camping,health & hygiene,"['toilet paper', 'hand sanitizer', 'toothbrush and toothpaste', 'toiletry kit', 'quick-dry towel', 'menstrual products', 'prescription medications', 'first-aid kit or first-aid supplies (see first-aid checklist)']"
Camping,sun and bug protection,"['sunscreen', 'sunglasses (and sunglasses straps)', 'sun hat', 'lip balm', 'insect repellent', 'insect repellent device', 'urinary products', 'sanitation trowel (if no toilets)', 'baby wipes', 'alcohol or antiseptic wipes', 'mirror', 'brush/comb', 'cosmetics', 'spare eyeglasses/contact lens supplies', 'eyeshades', 'earplugs', 'portable camp shower']"
Camping,personal items,"['credit card and/or cash', 'id', 'cellphone']"
Cycling,essentials,"['water bottle or hydration pack', 'smartphone, gps or route map', 'sunglasses or clear lenses', 'sunscreen', 'emergency contact info']"
Cycling,nutrition,"['electrolyte powder', 'energy bars', 'nuts', 'fresh fruit']"
Cycling,bike accessories for long-distance touring,"['panniers (20- or 40-liter)', 'frame bag', 'handlebar bag', 'trunk bag', 'rain covers and/or plastic bags', 'daypack', 'extra water bottle mounts', 'headlight', 'flashing taillight', 'bungee cords', 'reflectors', 'bike lock', 'mirror (on handlebar or helmet)']"
Cycling,repair items,"['spare tube(s)', 'spare tire', '2 extra spokes', 'spoke wrench', 'spare disc brakes/brake pads', 'spare brake/shift cable', 'patch kit', 'pump or co2', 'tire levers', 'multi-tool', 'bike cleaning wipes', 'spare chain', 'chain tool', 'chain lube', 'spare cleats', 'spare nuts, bolts, and washers', 'repair/duct tape', 'shop rag/wipes']"
Cycling,clothing,"['bike helmet', 'cycling jersey', 'cycling layers  windbreaker, rain jacket, sleeves, leggings, etc. (weather dependent)', 'bike shorts (with small tube of chamois cream)', 'bike shoes', 'socks (wool or synthetic)', 'bike gloves', 'sweat bands/caps/bandana', 'fall/winter gloves (weather dependent)', 'fleece/wool hat (weather dependent)', 'waterproof rain booties/gaiters', 'post-ride shoes or sandals', 'post-ride set of clothes - shirt, shorts/pants, underwear, socks, etc.', 'swimsuit']"
Cycling,documents,"['credit/debit card', 'cash', 'drivers license', 'passport', 'photocopies of passport and credit cards', 'travel insurance card']"
Cycling,misc,"['toilet paper/tissue', 'basic first aid kit', 'camera + accessories']"
Boating,equipment & safety,"['personal flotation device(s)', 'fire extinguisher(s)', 'visual distress signal(s)', 'sound producing device(s)', 'flame arrestor(s)', 'sanitation device(s)', 'navigation device', 'vhf radio']"
Boating,medical supplies,"['waterproof bandages', 'liquid bandages', 'sterile gauze', 'antiseptic', 'tweezers', 'scissors', 'ibuprofen', 'benadryl', 'prescription meds', 'motion sickness meds', 'hand sanitizer']"
Boating,documentation,"['vessel registration', 'insurance documents', 'drivers license', 'boaters license', 'coast guard certificate']"
Boating,other,"['extra clothes', 'towels', 'sunscreen', 'aloe', 'bug repellent', 'sunglasses', 'camera', 'food & water', 'duct tape', 'flashlight', 'wallet', 'books & magazines', 'ear plugs', 'phone charger']"
Skiing/Snowboarding,travel essentials,"['tickets, travel money, passport', 'flight/train/ferry/coach/transfer details', 'holiday/accommodation/ski hire details', 'insurance details', ""driving licence/gps navigation device/directions if you're driving"", 'ski club membership card (for member discounts in resort)', 'fully charged mobile phone, charger and external battery']"
Skiing/Snowboarding,ski/snowboard equipment,"['ski boots/snowboard boots', 'skis/snowboard (in ski bag)', 'poles', 'day rucksack', 'helmet', 'transceiver, shovel and probe (for staying safe off piste)', 'water bottle or camelbak', 'multitool for repairs or adjustments on the go', 'goggles']"
Skiing/Snowboarding,ski/snowboard clothing,"['warm hat/beanie', 'sunglasses', 'neck warmer/buff', '2x thermal tops', '2x fleeces', 'waterproof ski jacket', 'waterproof ski trousers', 'waterproof gloves or mittens', 'thermal bottoms', '2 or 3 pairs of ski/board socks']"
Skiing/Snowboarding,other clothes,"['jeans/long trousers', 't-shirts/tops', 'jumper or fleece', 'underwear including socks', 'comfy trousers/jogging bottoms', 'slippers', 'thin gloves', 'scarf', 'shoes/boots with a good grip', 'sports bra']"
Skiing/Snowboarding,other stuff,"['pyjamas', 'toiletries including toothbrush', 'sunscreen - high spf', 'lipsalve/balm with spf', 'aftersun/moisturiser', 'snowchains if driving', 'swimming costume/trunks', 'camera and charger', 'travel plug adaptor', 'speakers and headphones', 'books', 'magazines', 'high energy snacks  chocolate bars/energy bars/nuts', 'any medication (including painkillers)', 'alarm clock', 'ear plugs', 'make-up']"
Skiing/Snowboarding,luxuries,"['travel pillow', 'gopro', 'hairdryer', 'hair straighteners', 'cards/games', 'boot warmers', 'hand warmers', 'ankle/knee/wrist supports', 'deep heat/muscle soaks', 'hip flask', 'handbag']"
Fishing,fishing licence,"['fishing rod(s) or fly fishing rod(s)', 'reel(s)', 'fishing rod case', 'tackle box', 'lures (spoons, hard baits, soft baits, tubes, crankbaits, spinnerbaits, search baits, etc.)', 'flies (dry, wet, streamers, etc.)', 'worms', 'hooking accessories', 'fishing line', 'pliers or wire cutters', 'fishing knife', 'landing net', 'stringer chain', 'fish weighing scales', 'pot', 'cooler', 'towel', 'gloves', 'waterproof bags', 'sonar', 'downrigger', 'canoe or kayak', 'oars or paddles', 'motor', 'motor battery', 'boat seats', 'map of the fishing territory including forested paths and waterways']"
Fishing,clothing and personal items,"['shorts', 'long pants', 't-shirts and/or short-sleeve tops', 'warm top', 'long-sleeve and short-sleeve fishing shirts', 'socks', 'undergarments', 'light jacket or windbreaker', 'jacket with mosquito net', 'rain jacket', 'swimsuit', 'fishing boots', 'water shoes', 'sandals', 'waders', 'polarized sunglasses', 'cap or hat with mosquito net']"
Fishing,"health, safety and hygiene","['personal floatation device (pfd) with multiple pockets', 'nautical safety kit (whistle, rope, scoop, etc.)', 'cellular phone or gps', 'first aid kit', 'broad-spectrum sunscreen', 'broad-spectrum protection lip balm', 'insect repellent', 'after-sun lotion', 'insect bite cream', 'disinfecting gel', 'mask', 'toilet paper', 'pocket lamp or headlamp', 'batteries', 'water bottle']"
Horse-riding,horse rider equipment,"['riding pants (breeches or jodhpurs)', 'shirt (breathable fabric that doesnt restrict your movement)', 'boots (tall boots or short paddock boots)', 'half chaps', 'helmet (for equestrians)', 'riding vest (for equestrians)']"
Horse-riding,horse-riding gear list,"['saddle, saddle pad, and girth', 'stirrup irons and leather', 'bridle, reins, and bit', 'grooming tools', 'fly spray', 'horse blanket or sheet', 'first aid kit']"
Canoeing,canoe basics,"['canoe', 'paddle (1 per paddler)', 'extra paddle', 'personal flotation device (1 per paddler)', 'extra pfd', 'seat', 'knee pads', 'yoke (with pads)', 'dry bags (for gear organization)', 'spray covers', 'weather/vhf radio', 'signaling devices (whistle, mirror, flares)', 'float bags', 'emergency floating throw line (with throw bag)', 'bailer or bilge pump', 'sponges']"
Canoeing,core gear,"['maps and charts in waterproof case', 'compass', 'gps', 'matches/lighter/fire starter in waterproof container', 'knife or multi-tool', 'two-way radios', 'cell phone in protective bag', 'multifunction watch', 'headlamp or flashlight (with extra batteries)', 'first-aid supplies (see our first-aid checklist)', 'sunglasses', 'sunscreen', 'lip balm', 'water bottles (filled)', 'water treatment method (and backup)', 'energy food (bars, gels, trail mix)', 'beverages or powdered drinks']"
Canoeing,camping basics,"['tent, tarp or bivy sack', 'sleeping bag', 'sleeping pad', 'meals and snacks', 'cooler (with ice)', 'stove and fuel', 'cookset and utensils', 'dishes, bowls and cups', 'insect repellent (plus headnet, if needed)', 'toilet paper and sanitation trowel', 'hand sanitizer', 'camera', 'binoculars', 'packable lantern', 'credit card; small amount of cash', 'trip itinerary left with friend + under car seat']"
Canoeing,clothing,"['dry suit or top', 'paddling gloves or pogies', 'neoprene footwear', 'sandals', 'helmet', 'sun-shielding hat', 'hat or cap retainer', 'skullcap', 'bandana or buff', 'wool/synthetic cap or balaclava', 'moisture-wicking t-shirt', 'moisture-wicking underwear', 'rashguard', 'swimsuit', 'shorts or convertible pants', 'sun-shielding shirt (long sleeves) and pants', 'spray jacket or rainwear (jacket and pants)', 'synthetic vest or jacket (for insulation)', 'synthetic gloves or mittens']"
Canoeing,repair-kit options,"['sealant (such as aquaseal)', 'bailing wire (copper, small roll)', 'nylon cord (or bungee cords)', 'putty', 'replacement nuts/bolts', 'repair/duct tape']"
Mountaineering,equipment,"['climbing pack', 'rope(s) (dry preferred)', 'helmet', 'harness (with adjustable leg loops)', 'crampons', 'ice axe (with leash)', 'belay/rappel device', 'pulley', 'locking carabiners', 'nonlocking carabiners', 'runnerssingles and doubles', 'prusik cords', 'hand protection (athletic tape, gloves)', 'snow protection gear', 'shovel', 'probe', 'avalanche transceiver', 'headlamp (plus a spare)', 'extra batteries (kept near your body)', 'for technical or mixed routes', 'nuts', 'nut extraction tool', 'hexes', 'ice tools (with leashes)', 'ice screws', 'camming devices', 'snow picket', 'slings (single- and double-length)', '(2) lightweight pulleys', '20 ft. of 5-7mm accessory cords (to make prusik slings)']"
Mountaineering,navigation,"['map (inside a waterproof sleeve)', 'compass', 'route description or guidebook', 'wands', 'altimeter watch', 'gps', 'satellite messenger and/or personal locator beacon', 'cellphone', 'battery pack or a solar panel for charging phone and/or gps']"
Mountaineering,overnight gear,"['mountaineering tent', 'sleeping bag (rated appropriately)', 'sleeping pads (1 foam + 1 inflatable to deal with severe cold)']"
Mountaineering,mountain kitchen,"['backpacking stove', 'fuel', 'cookset', 'dishes/bowls', 'eating utensils', 'insulated mug/cup', 'biodegradable soap', 'small quick-dry towel', 'collapsible water container']"
Mountaineering,food & water,"['water bottles and/or reservoir', 'water filter/purifier or chemical treatment', 'meals', 'energy food and drinks (bars, gels, chews, trail mix, drink mix)', 'hot drink mix', ""extra day's supply of food""]"
Mountaineering,clothing & footwear,['pack extra dry clothes * beyond those required for the trip.']
Mountaineering,long underwear,"['underwear; sports bra (if needed)', 'moisture-wicking t-shirt', 'mountaineering pants', 'long-sleeve shirt (for sun, bugs)', 'lightweight fleece or jacket', 'boots (crampon-compatible)', 'socks (synthetic or wool) plus spares', 'insulated/down or synthetic booties for camp wear', 'rainwear (jacket and pants)', 'warm insulated jacket or vest', 'fleece pants', 'gloves or mittens', 'warm hat', 'bandana or buff', 'neck gaiter or balaclava', 'gaiters (for rainy, snowy or muddy conditions']"
Mountaineering,emergency & first aid,"['first-aid kit or first-aid supplies', 'whistle', 'signaling mirror', 'lighter/matches (in waterproof container)', 'fire starter (for emergency survival fire)', 'emergency shelter', 'two itineraries: 1 left with friend + 1 under car seat']"
Mountaineering,health & hygiene,"['hand sanitizer/wipes', 'toothbrush and toothpaste', 'sanitation trowel', 'toilet paper and sealable bag (to pack it out)', 'menstrual products', 'prescription medications', 'prescription glasses']"
Mountaineering,sun and bug protection,"['sunglasses + sunglasses straps and/or goggles (better for high winds)', 'sunscreen * (apply liberally)', 'spf-rated lip balm', 'sun hat', 'nose guard (strip of fabric that covers the top of the nose)', 'insect repellent']"
Mountaineering,optional,"['urinary products', 'additional blister treatment supplies']"
Photography,essentials,"['camera bag', 'camera body', 'lens', 'tripod', 'strobe', 'filters', 'storage', 'memory card', 'batteries', 'camera cleaning']"
